Source	Target	Weights
AIZL	vBWML07	1
AIZR	ADFR	1
AIZR	SIADR	1
RIS	RMDDL	1
RIS	RMDDR	1
RIS	SMDVR	1
ALA	AVDR	1
PVQL	AWAL	1
PVQL	RMGL	1
PVQL	DA08	1
PVQL	DD06	1
PVQL	vBWMR010	1
PVQR	ASJL	1
PVQR	AIAL	1
PVQR	PVT	1
PVQR	AVBR	1
PVQR	DD01	1
PVQR	VD01	1
PVQR	CEPshVR	1
PVQR	hyp	1
PVQR	VC02	1
ADAL	PVPL	1
ADAL	AVDL	1
ADAL	URAVL	1
ADAR	RIFR	1
ADAR	AVEL	1
RIFR	ADLR	1
RIFR	AIZL	1
RIFR	RIFL	1
RIFR	AVFL	1
RIFR	RIAR	1
RIFR	PVCL	1
RIFR	PVCR	1
BDUR	CEPVR	1
BDUR	dBWMR06	1
PVR	PVM	1
PVR	ADAR	1
PVR	PVR	1
PVR	AVKL	1
PVR	DA05	1
PVR	DB04	1
PVR	VB07	1
PVR	vBWMR011	1
AVFL	PDER	1
AVFL	AIML	1
AVFL	PVQL	1
AVFL	RIFR	1
AVFL	DVB	1
AVFL	SMBVL	1
AVFL	AS10	1
AVFL	vBWML010	1
AVFL	vBWML011	1
AVFL	vBWML013	1
AVFL	vBWMR013	1
AVFL	int	1
AVFL	VC01	1
AVFR	ASHR	1
AVFR	PVDL	1
AVFR	AIML	1
AVFR	AIAL	1
AVFR	PVPR	1
AVFR	AVG	1
AVFR	RMGL	1
AVFR	AVJR	1
AVFR	AVAL	1
AVFR	PVCR	1
AVFR	RMDDL	1
AVFR	VA02	1
AVFR	VD11	1
AVFR	vBWML011	1
AVFR	vBWML012	1
AVFR	vBWMR010	1
AVHL	RIFR	1
AVHL	BDUR	1
AVHL	PVPL	1
AVHL	RIMR	1
AVHL	AVBR	1
AVHL	AVAR	1
AVHL	SABD	1
AVHL	DD01	1
AVHL	VD01	1
AVHR	RIGL	1
AVHR	AVDR	1
AVHR	vBWMR09	1
PVPL	PVDL	1
PVPL	RIR	1
PVPL	ADAL	1
PVPR	URXR	1
PVPR	PVQR	1
PVPR	AVG	1
PVPR	RIMR	1
PVPR	DD02	1
PVPR	vBWMR010	1
PVPR	vBWMR011	1
LUAL	AVJR	1
LUAL	PVWL	1
LUAR	PVNL	1
LUAR	hyp	1
PVNL	PVPR	1
PVNL	PVWR	1
PVNL	VA12	1
PVNL	VD12	1
PVNL	vBWML020	1
PVNL	vBWMR020	1
PVNR	PVNR	1
PVNR	AVDL	1
PVNR	DB03	1
PVNR	DD02	1
PVNR	VA05	1
PVNR	VA11	1
PVNR	VD06	1
PVNR	VD07	1
PVNR	VD12	1
PVNR	VD13	1
PVNR	vBWMR020	1
PVNR	vBWMR021	1
AVG	AVDL	1
AVG	AVER	1
AVG	PVCL	1
AVG	DA08	1
AVG	VA06	1
AVG	vBWML010	1
